JDEX| NDEX| NAME		   |TYPE 1 	   | TYPE 2		|Claimed?
#192  #221  Piloswine		Ice			Ground  
#193  #216  Teddiursa		Normal  
#194  #217  Ursaring		Normal  
#195  #231  Phanpy			Ground  
#196  #232  Donphan			Ground  
#197  #226  Mantine			Water		Flying  
#198  #227  Skarmory		Steel		Flying  
#199  #084  Doduo			Normal		Flying  
#200  #085  Dodrio			Normal		Flying  
#201  #077  Ponyta			Fire  
#202  #078  Rapidash		Fire  
#203  #104  Cubone			Ground  
#204  #105  Marowak			Ground  
#205  #115  Kangaskhan		Normal  
#206  #111  Rhyhorn			Ground		Rock  
#207  #112  Rhydon			Ground		Rock  
#208  #198  Murkrow			Dark		Flying  
#209  #228  Houndour		Dark		Fire  
#210  #229  Houndoom		Dark		Fire  
#211  #218  Slugma			Fire  
#212  #219  Magcargo		Fire		Rock  
#213  #215  Sneasel			Dark		Ice  
#214  #200  Misdreavus		Ghost  
#215  #137  Porygon			Normal  
#216  #233  Porygon2		Normal  
#217  #113  Chansey			Normal  
#218  #242  Blissey			Normal  
#219  #131  Lapras			Water		Ice  
#220  #138  Omanyte			Rock		Water  
#221  #139  Omastar			Rock		Water  
#222  #140  Kabuto			Rock		Water  
#223  #141  Kabutops		Rock		Water  
#224  #142  Aerodactyl		Rock		Flying  
#225  #143  Snorlax			Normal  
#226  #001  Bulbasaur		Grass		Poison  
#227  #002  Ivysaur			Grass		Poison  
#228  #003  Venusaur		Grass		Poison  
#229  #004  Charmander		Fire  
#230  #005  Charmeleon		Fire  
#231  #006  Charizard		Fire		Flying  
#232  #007  Squirtle		Water  
#233  #008  Wartortle		Water  
#234  #009  Blastoise		Water  
#235  #144  Articuno		Ice			Flying  
#236  #145  Zapdos			Electric	Flying  
#237  #146  Moltres			Fire		Flying  
#238  #243  Raikou			Electric  
#239  #244  Entei			Fire  
#240  #245  Suicune			Water  
#241  #147  Dratini			Dragon  
#242  #148  Dragonair		Dragon  
#243  #149  Dragonite		Dragon		Flying  
#244  #246  Larvitar		Rock		Ground  
#245  #247  Pupitar			Rock		Ground  
#246  #248  Tyranitar		Rock		Dark  
#247  #249  Lugia			Psychic		Flying  
#248  #250  Ho-Oh			Fire		Flying  
#249  #150  Mewtwo			Psychic  
#250  #151  Mew				Psychic  
#251  #251  Celebi			Psychic		Grass  
